model,Average,Q1value,Q2value,Q3value,Q4value,Q1reason,Q2reason,Q3reason,Q4reason
Llama-4-Scout-17B,35.0%,35.8%,35.8%,35.8%,35.8%,34.2%,34.2%,34.2%,34.2%
Qwen3-235B-A22B-FP8,14.2%,17.5%,17.5%,19.2%,33.3%,0.0%,0.8%,5.0%,20.0%
gemma-3-1b-it,14.0%,16.7%,16.7%,16.7%,16.7%,8.3%,8.3%,8.3%,20.0%
gemini-2.5-pro-preview-03-25,8.8%,17.5%,17.5%,17.5%,17.5%,0.0%,0.0%,0.0%,0.0%
gemini-2.0-pro-exp,7.4%,14.8%,14.8%,14.8%,14.8%,0.0%,0.0%,0.0%,0.0%
gemini-2.5-flash-preview-04-17,4.6%,9.2%,9.2%,9.2%,9.2%,0.0%,0.0%,0.0%,0.0%
gemini-2.0-flash-thinking-exp,3.3%,6.7%,6.7%,6.7%,6.7%,0.0%,0.0%,0.0%,0.0%
Qwen2.5-VL-7B-Instruct,1.5%,0.0%,0.0%,9.2%,0.8%,0.0%,0.0%,0.8%,0.8%
gemini-2.0-flash,0.4%,0.8%,0.8%,0.8%,0.8%,0.0%,0.0%,0.0%,0.0%
o4-mini,0.4%,0.8%,0.8%,0.8%,0.8%,0.0%,0.0%,0.0%,0.0%
