,Q1reason,Q2reason,Q3reason,Q4reason
p1_maximum,118.479,110.034,102.577,109.003
p1_minimum,118.479,110.034,102.577,109.003
p1_mean,118.479,110.034,102.577,109.003
p1_std_dev,0.0,0.0,0.0,0.0
p1_median,118.479,110.034,102.577,109.003
p1_skewness,,,,
p1_kurtosis,,,,
p2_maximum,121.623,114.406,106.843,116.869
p2_minimum,121.623,114.406,106.843,116.869
p2_mean,121.623,114.406,106.843,116.869
p2_std_dev,0.0,0.0,0.0,0.0
p2_median,121.623,114.406,106.843,116.869
p2_skewness,,,,
p2_kurtosis,,,,
p3_maximum,123.632,116.124,111.221,117.067
p3_minimum,123.632,116.124,111.221,117.067
p3_mean,123.632,116.124,111.221,117.067
p3_std_dev,0.0,0.0,0.0,0.0
p3_median,123.632,116.124,111.221,117.067
p3_skewness,,,,
p3_kurtosis,,,,
p4_maximum,99.755,93.171,87.946,94.766
p4_minimum,99.755,93.171,87.946,94.766
p4_mean,99.755,93.171,87.946,94.766
p4_std_dev,0.0,0.0,0.0,0.0
p4_median,99.755,93.171,87.946,94.766
p4_skewness,,,,
p4_kurtosis,,,,
