model,temperature,total_reason_length
DeepSeek-R1,0.1,351.3666666666667
DeepSeek-R1,0.4,361.96666666666664
DeepSeek-R1,0.7,344.43333333333334
DeepSeek-R1,0.9,357.1333333333333
DeepSeek-V3,0.1,312.8666666666667
DeepSeek-V3,0.4,367.43333333333334
DeepSeek-V3,0.7,338.76666666666665
DeepSeek-V3,0.9,380.1
DeepSeek-V3-0324,0.1,274.6333333333333
DeepSeek-V3-0324,0.4,348.23333333333335
DeepSeek-V3-0324,0.7,306.26666666666665
DeepSeek-V3-0324,0.9,334.96666666666664
Llama-3.3-70B-Instruct-Turbo,0.1,473.1333333333333
Llama-3.3-70B-Instruct-Turbo,0.4,470.0
Llama-3.3-70B-Instruct-Turbo,0.7,509.4
Llama-3.3-70B-Instruct-Turbo,0.9,474.4
Llama-4-Maverick-17B,0.1,496.1333333333333
Llama-4-Maverick-17B,0.4,564.9333333333333
Llama-4-Maverick-17B,0.7,545.8333333333334
Llama-4-Maverick-17B,0.9,538.3666666666667
Llama-4-Scout-17B,0.1,521.8333333333334
Llama-4-Scout-17B,0.4,245.1
Llama-4-Scout-17B,0.7,303.1666666666667
Llama-4-Scout-17B,0.9,302.76666666666665
Qwen2.5-VL-7B-Instruct,0.1,339.53333333333336
Qwen2.5-VL-7B-Instruct,0.4,412.3333333333333
Qwen2.5-VL-7B-Instruct,0.7,380.96666666666664
Qwen2.5-VL-7B-Instruct,0.9,384.1333333333333
Qwen3-235B-A22B-FP8,0.1,392.3666666666667
Qwen3-235B-A22B-FP8,0.4,435.56666666666666
Qwen3-235B-A22B-FP8,0.7,426.43333333333334
Qwen3-235B-A22B-FP8,0.9,432.2
claude-3-5-haiku-20241022,0.1,337.0
claude-3-5-haiku-20241022,0.4,377.5
claude-3-5-haiku-20241022,0.7,416.76666666666665
claude-3-5-haiku-20241022,0.9,398.23333333333335
claude-3-5-sonnet-20241022,0.1,346.73333333333335
claude-3-5-sonnet-20241022,0.4,384.8
claude-3-5-sonnet-20241022,0.7,356.46666666666664
claude-3-5-sonnet-20241022,0.9,365.46666666666664
claude-3-7-sonnet-20250219,0.1,616.4666666666667
claude-3-7-sonnet-20250219,0.4,594.9333333333333
claude-3-7-sonnet-20250219,0.7,620.5333333333333
claude-3-7-sonnet-20250219,0.9,618.1
claude-3-haiku-20240307,0.1,523.1666666666666
claude-3-haiku-20240307,0.4,553.2
claude-3-haiku-20240307,0.7,493.6
claude-3-haiku-20240307,0.9,517.6333333333333
gemini-2.0-flash,0.1,334.7
gemini-2.0-flash,0.4,489.06666666666666
gemini-2.0-flash,0.7,442.6666666666667
gemini-2.0-flash,0.9,453.73333333333335
gemini-2.0-flash-lite,0.1,352.3666666666667
gemini-2.0-flash-lite,0.4,414.0
gemini-2.0-flash-lite,0.7,400.43333333333334
gemini-2.0-flash-lite,0.9,425.96666666666664
gemini-2.0-flash-thinking-exp,0.1,322.3333333333333
gemini-2.0-flash-thinking-exp,0.4,469.23333333333335
gemini-2.0-flash-thinking-exp,0.7,508.46666666666664
gemini-2.0-flash-thinking-exp,0.9,677.5
gemini-2.0-pro-exp,0.4,678.0
gemini-2.0-pro-exp,0.7,635.7692307692307
gemini-2.5-flash-preview-04-17,0.1,302.5
gemini-2.5-flash-preview-04-17,0.4,491.0
gemini-2.5-flash-preview-04-17,0.7,508.1666666666667
gemini-2.5-flash-preview-04-17,0.9,696.7333333333333
gemini-2.5-pro-preview-03-25,0.1,468.7
gemini-2.5-pro-preview-03-25,0.4,696.0
gemini-2.5-pro-preview-03-25,0.7,638.7333333333333
gemini-2.5-pro-preview-03-25,0.9,673.0666666666667
gemma-3-12b-it,0.1,374.46666666666664
gemma-3-12b-it,0.4,528.8666666666667
gemma-3-12b-it,0.7,505.9
gemma-3-12b-it,0.9,520.6
gemma-3-1b-it,0.1,364.76666666666665
gemma-3-1b-it,0.4,430.6666666666667
gemma-3-1b-it,0.7,462.46666666666664
gemma-3-1b-it,0.9,418.93333333333334
gemma-3-27b-it,0.1,332.73333333333335
gemma-3-27b-it,0.4,414.6666666666667
gemma-3-27b-it,0.7,403.26666666666665
gemma-3-27b-it,0.9,415.2
gemma-3-4b-it,0.1,370.5
gemma-3-4b-it,0.4,560.4666666666667
gemma-3-4b-it,0.7,505.5
gemma-3-4b-it,0.9,556.2666666666667
gpt-4.1,0.1,248.73333333333332
gpt-4.1,0.4,449.76666666666665
gpt-4.1,0.7,378.3
gpt-4.1,0.9,407.23333333333335
gpt-4.1-mini,0.1,280.8
gpt-4.1-mini,0.4,347.93333333333334
gpt-4.1-mini,0.7,347.3666666666667
gpt-4.1-mini,0.9,358.1
gpt-4.1-nano,0.1,202.86666666666667
gpt-4.1-nano,0.4,334.96666666666664
gpt-4.1-nano,0.7,267.23333333333335
gpt-4.1-nano,0.9,309.3333333333333
gpt-4o,0.1,360.0
gpt-4o,0.4,442.96666666666664
gpt-4o,0.7,413.2
gpt-4o,0.9,430.23333333333335
gpt-4o-mini,0.1,361.65
gpt-4o-mini,0.4,434.3666666666667
gpt-4o-mini,0.7,402.03333333333336
gpt-4o-mini,0.9,425.3333333333333
grok-2-latest,0.1,437.8
grok-2-latest,0.4,559.4333333333333
grok-2-latest,0.7,491.03333333333336
grok-2-latest,0.9,543.9333333333333
grok-3-fast-latest,0.1,512.3333333333334
grok-3-fast-latest,0.4,628.3333333333334
grok-3-fast-latest,0.7,575.8666666666667
grok-3-fast-latest,0.9,662.5666666666667
grok-3-latest,0.1,508.1333333333333
grok-3-latest,0.4,608.4
grok-3-latest,0.7,561.6
grok-3-latest,0.9,672.5333333333333
grok-3-mini-fast-latest,0.1,395.56666666666666
grok-3-mini-fast-latest,0.4,602.6333333333333
grok-3-mini-fast-latest,0.7,489.8
grok-3-mini-fast-latest,0.9,558.1
grok-3-mini-latest,0.1,388.46666666666664
grok-3-mini-latest,0.4,599.6666666666666
grok-3-mini-latest,0.7,437.03333333333336
grok-3-mini-latest,0.9,577.8333333333334
