model,Q1value,Q2value,Q3value,Q4value
DeepSeek-R1,55.166666666666664,74.25,32.583333333333336,38.25
DeepSeek-V3,65.125,57.916666666666664,32.833333333333336,33.833333333333336
DeepSeek-V3-0324,62.833333333333336,64.29166666666667,38.125,39.166666666666664
Llama-3.3-70B-Instruct-Turbo,60.0,56.25,39.25,30.5
Llama-4-Maverick-17B,78.33333333333333,54.166666666666664,26.666666666666668,44.333333333333336
Llama-4-Scout-17B,80.0,70.12987012987013,12.077922077922079,28.441558441558442
Qwen2.5-VL-7B-Instruct,85.0,36.25,12.568807339449542,17.478991596638654
Qwen3-235B-A22B-FP8,80.58585858585859,69.28282828282828,33.608247422680414,29.1125
claude-3-5-haiku-20241022,73.29166666666667,60.125,31.541666666666668,29.75
claude-3-5-sonnet-20241022,67.58333333333333,72.91666666666667,46.458333333333336,42.958333333333336
claude-3-7-sonnet-20250219,61.833333333333336,69.5,40.125,33.666666666666664
claude-3-haiku-20240307,67.375,62.541666666666664,41.583333333333336,60.5
gemini-2.0-flash,60.54621848739496,58.78151260504202,37.016806722689076,44.53781512605042
gemini-2.0-flash-lite,71.41666666666667,45.916666666666664,27.291666666666668,19.041666666666668
gemini-2.0-flash-thinking-exp,52.25892857142857,44.401785714285715,32.88392857142857,39.50892857142857
gemini-2.0-pro-exp,62.82608695652174,63.69565217391305,30.869565217391305,32.82608695652174
gemini-2.5-flash-preview-04-17,49.81651376146789,44.31192660550459,34.357798165137616,41.00917431192661
gemini-2.5-pro-preview-03-25,63.38383838383838,62.323232323232325,27.828282828282827,32.82828282828283
gemma-3-12b-it,61.25,54.958333333333336,32.75,24.458333333333332
gemma-3-1b-it,51.0,79.87,74.67,57.3
gemma-3-27b-it,64.5,46.333333333333336,32.166666666666664,32.0
gemma-3-4b-it,75.0,59.95,32.416666666666664,36.041666666666664
gpt-4.1,63.708333333333336,65.45833333333333,38.708333333333336,26.791666666666668
gpt-4.1-mini,57.75,52.791666666666664,39.291666666666664,33.958333333333336
gpt-4.1-nano,75.08333333333333,58.875,20.416666666666668,22.791666666666668
gpt-4o,66.91666666666667,66.70833333333333,29.416666666666668,26.666666666666668
gpt-4o-mini,71.95833333333333,49.166666666666664,30.625,22.416666666666668
grok-2-latest,71.91666666666667,59.333333333333336,26.416666666666668,24.541666666666668
grok-3-fast-latest,61.416666666666664,58.083333333333336,34.0,31.0
grok-3-latest,61.416666666666664,58.291666666666664,33.833333333333336,31.625
grok-3-mini-fast-latest,59.916666666666664,50.125,32.375,35.583333333333336
grok-3-mini-latest,61.041666666666664,49.625,32.916666666666664,36.458333333333336
o1-mini,58.583333333333336,58.166666666666664,46.208333333333336,53.708333333333336
o3,64.825,61.1,36.55,35.0
o3-mini,75.95833333333333,64.44166666666666,20.958333333333332,30.875
o4-mini,59.42016806722689,59.0,33.08403361344538,29.126050420168067
