model	timestamp	text	developer	persona	temperature	trial	Q1value	Q2value	Q3value	Q4value	Q1reason	Q2reason	Q3reason	Q4reason
DeepSeek-R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepSeek-V3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DeepSeek-V3-0324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-3.3-70B-Instruct-Turbo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-4-Maverick-17B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Llama-4-Scout-17B	0.0	0.0	0.0	0.0	0.0	0.0	0.3583333333333333	0.3583333333333333	0.3583333333333333	0.3583333333333333	0.3416666666666667	0.3416666666666667	0.3416666666666667	0.3416666666666667
Qwen2.5-VL-7B-Instruct	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0916666666666666	0.0083333333333333	0.0	0.0	0.0083333333333333	0.0083333333333333
Qwen3-235B-A22B-FP8	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.175	0.1916666666666666	0.3333333333333333	0.0	0.0083333333333333	0.05	0.2
claude-3-5-haiku-20241022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
claude-3-5-sonnet-20241022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
claude-3-7-sonnet-20250219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
claude-3-haiku-20240307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gemini-2.0-flash	0.0	0.0	0.0	0.0	0.0	0.0	0.0083333333333333	0.0083333333333333	0.0083333333333333	0.0083333333333333	0.0	0.0	0.0	0.0
gemini-2.0-flash-lite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gemini-2.0-flash-thinking-exp	0.0	0.0	0.0	0.0	0.0	0.0	0.0666666666666666	0.0666666666666666	0.0666666666666666	0.0666666666666666	0.0	0.0	0.0	0.0
gemini-2.0-pro-exp	0.0	0.0	0.0	0.0	0.0	0.0	0.1481481481481481	0.1481481481481481	0.1481481481481481	0.1481481481481481	0.0	0.0	0.0	0.0
gemini-2.5-flash-preview-04-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0916666666666666	0.0916666666666666	0.0916666666666666	0.0916666666666666	0.0	0.0	0.0	0.0
gemini-2.5-pro-preview-03-25	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.175	0.175	0.175	0.0	0.0	0.0	0.0
gemma-3-12b-it	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gemma-3-1b-it	0.0	0.0	0.0	0.0	0.0	0.0	0.1666666666666666	0.1666666666666666	0.1666666666666666	0.1666666666666666	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.2
gemma-3-27b-it	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gemma-3-4b-it	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4.1-mini	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4.1-nano	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4o	0.0	0.0	0.0	0.0	0.0833333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpt-4o-mini	0.0	0.0	0.0	0.0	0.0833333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grok-2-latest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grok-3-fast-latest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grok-3-latest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grok-3-mini-fast-latest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
grok-3-mini-latest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o1-mini	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o3-mini	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o4-mini	0.0	0.0	0.0	0.0	1.0	0.0	0.0083333333333333	0.0083333333333333	0.0083333333333333	0.0083333333333333	0.0	0.0	0.0	0.0
