model	Q1reason	Q2reason	Q3reason	Q4reason
DeepSeek-R1	96.72	93.72	79.61	83.67
DeepSeek-V3	96.98	87.44	80.72	84.64
DeepSeek-V3-0324	82.44	83.57	72.16	77.86
Llama-3.3-70B-Instruct-Turbo	118.69	120.63	115.0	127.41
Llama-4-Maverick-17B	138.6	127.42	121.73	148.56
Llama-4-Scout-17B	98.52	86.25	69.2	89.24
Qwen2.5-VL-7B-Instruct	145.58	67.32	77.25	89.09
Qwen3-235B-A22B-FP8	131.18	120.48	97.22	72.78
claude-3-5-haiku-20241022	109.84	94.52	83.01	95.01
claude-3-5-sonnet-20241022	91.42	89.82	83.04	99.08
claude-3-7-sonnet-20250219	157.32	147.85	147.53	159.81
claude-3-haiku-20240307	133.66	120.55	123.05	144.64
gemini-2.0-flash	102.32	102.69	111.18	113.84
gemini-2.0-flash-lite	112.39	95.34	96.72	93.73
gemini-2.0-flash-thinking-exp	123.87	127.93	111.64	130.94
gemini-2.0-pro-exp	158.22	162.59	150.48	166.04
gemini-2.5-flash-preview-04-17	123.08	128.19	114.47	133.86
gemini-2.5-pro-preview-03-25	144.24	155.42	151.48	167.99
gemma-3-12b-it	119.0	127.37	116.07	120.02
gemma-3-1b-it	94.62	112.1	108.89	103.6
gemma-3-27b-it	101.68	93.39	97.15	99.24
gemma-3-4b-it	141.27	127.83	113.03	116.05
gpt-4.1	101.28	94.67	88.22	86.84
gpt-4.1-mini	90.78	85.82	75.52	81.44
gpt-4.1-nano	74.22	69.58	65.12	69.68
gpt-4o	110.39	102.78	96.69	107.36
gpt-4o-mini	106.72	95.41	100.03	102.57
grok-2-latest	139.7	127.83	117.69	122.82
grok-3-fast-latest	159.52	145.07	141.13	149.06
grok-3-latest	158.68	143.82	139.28	145.88
grok-3-mini-fast-latest	136.13	128.04	123.75	123.6
grok-3-mini-latest	135.22	125.75	120.34	119.43
o1-mini	73.78	70.64	65.32	70.17
o3	92.44	88.55	76.51	83.8
o3-mini	114.0	108.82	112.21	123.6
o4-mini	90.31	86.79	72.42	79.82
