model	corr_similarity	corr_diversity
Qwen2.5-VL-7B-Instruct	-0.1656152163833716	0.1656152163833727
Qwen3-235B-A22B-FP8	-0.568096457926883	0.5680964579268851
claude-3-5-haiku-20241022	-0.9710996362123898	0.9710996362123898
claude-3-5-sonnet-20241022	-0.94257022709467	0.9425702270946694
claude-3-haiku-20240307	-0.9938413762380868	0.9938413762380864
claude-3-7-sonnet-20250219	-0.9537067810639324	0.9537067810639324
DeepSeek-R1	-0.8054733199502894	0.8054733199502903
DeepSeek-V3	-0.9308553983112324	0.930855398311232
DeepSeek-V3-0324	-0.9839794405726534	0.9839794405726532
gemini-2.0-flash	-0.977662209713435	0.9776622097134344
gemini-2.0-flash-lite	-0.9011553394440388	0.901155339444039
gemini-2.0-flash-thinking-exp	0.8710210611838026	-0.8710210611838036
gemini-2.0-pro-exp		
gemini-2.5-flash-preview-04-17	0.6388998860911909	-0.6388998860911924
gemini-2.5-pro-preview-03-25	-0.2535329353516276	0.2535329353516265
gemma-3-12b-it	-0.7554645086644735	0.7554645086644726
gemma-3-1b-it	0.996758274987381	-0.996758274987381
gemma-3-27b-it	-0.5138662007136551	0.5138662007136547
gemma-3-4b-it	0.0375707875687985	-0.0375707875687957
Llama-3.3-70B-Instruct-Turbo	-0.9943342585808668	0.9943342585808668
Llama-4-Maverick-17B	-0.9849843397067272	0.9849843397067272
Llama-4-Scout-17B	-0.1426182584677085	0.1426182584677084
gpt-4.1	-0.9793381377585384	0.9793381377585384
gpt-4.1-mini	-0.9489132092207722	0.9489132092207724
gpt-4.1-nano	-0.9293227792634364	0.929322779263436
gpt-4o	0.9568880113581724	-0.9568880113581713
gpt-4o-mini	0.3253271201248303	-0.3253271201248173
grok-2-latest	-0.9612080786765218	0.9612080786765216
grok-3-fast-latest	-0.931202294029724	0.9312022940297242
grok-3-latest	-0.9520158989174144	0.952015898917415
grok-3-mini-fast-latest	-0.5272084067015711	0.527208406701572
grok-3-mini-latest	-0.87563588713662	0.8756358871366199
